time,difference
0,-0.1869105643
0.3,-0.1869105643
0.6,-0.1869105643
0.9,-0.1869105643
1.1,-0.1869105643
1.2,-0.1869105643
1.5,-0.1869105643
1.7,-0.1869105643
1.8,-0.1869105643
2,-0.1869105643
2.2,-0.1869105643
4,-0.1869105643
4.4,-0.1869105643
4.6,-0.1869105643
5.4,-0.1869105643
5.6,-0.1869105643
5.8,-0.1869105643
5.9,-0.1869105643
6.1,-0.1869105643
6.8,-0.1869105643
7.2,-0.1869105643
7.3,-0.1869105643
8.7,-0.1869105643
9,-0.1869105643
9.4,-0.1869105643
9.6,-0.1869105643
9.9,-0.1869105643
10.1,-0.1869105643
10.3,-0.1869105643
10.8,-0.1869105643
11.1,-0.1869105643
11.3,-0.1869105643
12.7,-0.1869105643
12.8,-0.1869105643
13.2,-0.1869105643
13.6,-0.1869105643
13.8,-0.1869105643
14.4,-0.1869105643
14.6,-0.1869105643
14.9,0.010071065
15.2,0.010071065
15.8,0.010071065
15.9,0.010071065
16.2,0.010071065
16.5,0.010071065
16.6,0.010071065
17.3,0.010071065
17.9,0.010071065
18.4,0.010071065
18.6,0.010071065
18.7,0.010071065
19.5,0.010071065
19.6,0.010071065
19.8,0.010071065
19.9,0.010071065
20.2,0.010071065
20.3,0.010071065
20.5,0.010071065
20.9,0.010071065
21.2,0.010071065
22.1,0.010071065
22.4,0.010071065
22.5,0.010071065
23,0.010071065
23.8,0.010071065
24.4,0.010071065
24.9,0.010071065
25.5,0.010071065
25.7,0.010071065
26,0.010071065
26.4,0.010071065
26.9,0.010071065
27,0.010071065
27.3,0.010071065
27.5,0.010071065
27.7,0.010071065
27.8,0.010071065
28.1,0.020071065
28.2,0.0300791665
28.4,0.0494653774
28.6,0.0090474989
28.8,0.1124965915
28.9,0.1089751923
29.1,0.1152522135
29.2,0.1095486076
29.4,0.1138683545
29.5,0.101760235
29.7,0.1050967758
29.8,0.1213595301
29.9,0.1148326346
30.1,0.0900218891
30.3,0.1044367549
30.5,0.1129986209
30.7,0.0250530506
30.9,0.1131817288
31.1,0.0952142911
31.4,0.0736124857
31.5,0.07365119
31.6,0.0153067423
31.9,0.113410069
32.1,0.0875233352
32.4,0.06279357
32.5,0.0564553068
33.1,-0.0145020466
33.2,0.0126995989
33.3,0.0103982782
34.8,-0.0232450956
35.2,0.0092047038
35.5,0.0104584881
36.1,-0.0232450956
36.5,0.0104584881
36.9,0.0104584881
37.5,0.0104584881
37.9,0.0074063487
38.3,-0.0671404372
38.4,-0.0298648399
38.7,-0.001811342
39.6,0.0170093833
39.9,-0.0145811815
40,-0.0145811815
40.7,0.0174792305
41.4,0.0125992671
43,0.0074597215
43.3,-0.0125329716
44.1,0.0129553218
44.4,0.0181336352
44.6,0.0181336352
45.2,0.0183809408
46,0.0180539118
46.3,0.0182090237
46.7,-0.0107831605
47.2,-0.0107831605
48.3,0.0165051707
48.9,0.0065392876
49,-0.011468539
49.4,-0.0110022884
49.9,0.0158870933
