time,difference
0,0.1269621425
0.3,0.1593422769
0.6,0.0639338507
0.9,0.2804818545
1.1,0.3581252331
1.2,0.0528752199
1.5,0.2309287152
1.7,0.0762933957
1.8,0.1838637595
2,0.0688618961
2.2,0.1858031056
4,0.265838539
4.4,0.0472886475
4.6,0.0666808771
5.4,0.2068427282
5.6,0.1083342677
5.8,0.0463886911
5.9,0.2433061068
6.1,0.0817087802
6.8,0.1737703318
7.2,0.0424605571
7.3,0.1628408333
8.7,0.1499558245
9,0.2049704989
9.4,0.2700955136
9.6,0.3366550569
9.9,0.3550607485
10.1,0.1928173681
10.3,0.3062532761
10.8,0.3534275902
11.1,0.367538743
11.3,0.2643777712
12.7,0.1525113533
12.8,0.1968423181
13.2,0.238240435
13.6,0.0409021876
13.8,0.3531937984
14.4,0.3690416537
14.6,0.0564191414
14.9,0.0691779337
15.2,0.0631930083
15.8,0.1172156005
15.9,0.151789396
16.2,0.1078005884
16.5,0.1336201845
16.6,0.2248416972
17.3,0.2173950694
17.9,0.2355188375
18.4,0.3327419394
18.6,0.2189723213
18.7,0.2767263735
19.5,0.2497406874
19.6,0.1507932912
19.8,0.2709613364
19.9,0.1976557288
20.2,0.2702268001
20.3,0.1507791306
20.5,0.2511163181
20.9,0.2470470646
21.2,0.2938795041
22.1,0.2183640992
22.4,0.2705119435
22.5,0.2764748084
23,0.2575671004
23.8,0.2072150586
24.4,0.191362043
24.9,0.1892998508
25.5,0.1025103312
25.7,0.161693193
26,0.1843912548
26.4,0.193607468
26.9,0.2518781511
27,0.17566564
27.3,0.1833047517
27.5,0.1947373841
27.7,0.1358226481
27.8,0.1741614439
28.1,0.2055428708
28.2,0.0905967055
28.4,0.2359276736
28.6,0.3876589918
28.8,0.1685562648
28.9,0.2113738753
29.1,0.1856484307
29.2,0.3032652326
29.4,0.3634798999
29.5,0.3363630657
29.7,0.2990163069
29.8,0.1655560176
29.9,0.1988380404
30.1,0.2217381638
30.3,0.2139196323
30.5,0.197571835
30.7,0.2033822043
30.9,0.259883118
31.1,0.259265488
31.4,0.2794792702
31.5,0.1725126383
31.6,0.1549729062
31.9,0.1746373679
32.1,0.1599830289
32.4,0.0530272742
32.5,0.037643082
33.1,0.0102740437
33.2,0.0780967309
33.3,0.1621281892
34.8,0.0759499708
35.2,0.1491732728
35.5,0.1302549424
36.1,0.0994895191
36.5,0.1175188207
36.9,0.1453148314
37.5,0.1776967724
37.9,0.0190488143
38.3,0.0724329625
38.4,0.1171336503
