time,difference
0,1.3577682929
0.2,1.2714141562
0.3,1.141244856
0.4,1.187596191
0.5,1.2592750128
0.6,1.1983572008
0.7,1.1010040196
0.9,1.1440099863
1.2,1.2629841955
1.4,1.3496094305
1.7,1.3517191055
2.1,1.3352951902
2.6,1.3319933131
2.9,1.4028172852
3,1.3447876292
3.2,1.4167182312
3.4,0.6488742468
3.6,0.3638147752
3.8,0.4332337654
4.5,0.394313801
4.9,0.3951788265
5.2,0.4570418652
5.4,0.5619886416
5.9,0.4857037681
6,0.4032390799
6.4,0.4408041162
6.7,0.5838198118
6.9,0.7330272403
7.4,0.7964227541
7.7,0.6269637013
7.9,0.7090596334
8.2,0.7952553929
8.5,0.861886022
8.7,0.8176466793
8.9,0.9307332471
9,0.9510481333
9.3,0.8754349734
9.6,0.9153748263
10.1,1.064119425
10.4,0.9693608101
10.5,1.0441184199
10.7,1.1344670392
10.9,1.2100036439
11.4,1.1871432827
11.7,1.2239961728
12,1.246008519
12.2,1.1035330641
12.7,1.1442536815
13.1,1.2946239683
13.6,1.2765399765
13.8,1.1338605774
13.9,1.1168856546
14.1,1.0275287449
14.3,1.0889980317
14.6,1.0573532868
15,1.2633409868
15.1,1.3586374991
15.4,1.4290434093
15.8,1.4221894381
16,1.3582944146
16.5,1.4196561292
16.7,1.558109991
17,1.5335736654
17.3,1.5148840391
17.4,1.6092861546
17.6,1.5874742705
17.9,1.6812386499
18.1,1.7725979629
18.2,1.8351109527
18.4,1.7685822716
18.7,1.7964033051
18.8,1.8970261739
19,1.9765969355
19.3,1.8648891449
19.5,1.8129204602
19.7,1.7119712302
20,1.6547562501
20.2,1.5734867939
20.3,1.6810628465
20.4,1.6549714623
20.7,1.5905107978
20.8,1.5241162566
21,1.4659367938
21.2,1.4766263896
21.4,1.4712763231
21.6,1.5282710645
21.9,1.5570245651
22.3,1.6173592643
22.4,1.7174903823
22.6,1.6654857495
23.1,1.7183008983
23.5,1.6342657071
23.7,1.5890605764
23.8,1.5226535254
24.1,1.519625029
24.5,1.5615860714
24.7,1.4715948091
24.9,1.3435441319
25,1.3202618488
25.1,1.2815871594
25.5,1.1806155556
26,1.0868688226
26.2,1.1317752107
26.4,1.139610682
26.6,1.2104313942
26.8,1.2905379543
26.9,1.3251485042
27,1.3979918242
27.2,1.4850571762
27.4,1.4044988235
27.5,1.4238218242
27.8,1.4566037468
28,1.4352938347
28.1,1.4272378316
28.4,1.4401654132
28.7,1.3896736313
29.4,1.3225779502
29.6,1.3282831977
29.7,1.4173501156
30,1.2895264237
30.3,1.2059915942
30.4,1.1529574521
30.7,1.0630840994
31.1,1.1831019773
31.3,1.2571347312
32.2,1.2163679565
32.4,1.1210504599
32.7,1.1479250431
32.8,1.0702196398
33.2,0.9619598779
33.4,0.884298587
33.6,0.8270806618
34,0.9897139836
34.1,1.0703540796
34.2,0.9976817147
34.9,1.0752117046
35.2,1.1492291712
36.3,1.2462284188
36.7,1.119839007
37,1.0430083079
37.1,0.9428142924
37.2,0.8468772529
37.4,0.8820391601
37.5,0.8044939669
37.6,0.8949045374
37.9,0.9130617157
38,1.0167233127
38.4,0.9794317627
38.5,1.0342597087
38.9,1.2093691139
39.1,1.1484646086
39.6,1.1368103806
39.9,1.2911204071
40.3,1.2386380606
40.4,1.3457811856
40.9,1.5003671985
41,1.4569789022
41.1,1.4218515098
41.3,1.3501654638
41.6,1.3023604074
41.7,1.1783342914
41.9,1.1282273081
42.2,1.0915844721
42.3,1.1767133094
42.5,1.1156303945
42.7,1.0853646475
42.9,1.0871935784
43.3,0.9853681912
43.4,0.9627339245
43.6,0.8037757592
43.9,0.8085862242
44.5,0.8765442255
44.7,0.7547401235
44.8,0.8242965421
45.1,0.9510362572
45.3,0.9127213272
45.4,0.8322438585
45.6,0.7801175847
45.8,0.7560863477
46.3,0.7449220285
46.4,0.6637852417
46.9,0.6925113749
47.3,0.8388760208
47.5,0.7118527704
47.8,0.9301844241
48.4,0.9169891382
48.7,0.9333612992
48.9,0.9135758833
49.2,0.8933957024
49.4,0.823847831
49.7,0.8541979095
49.9,0.9815123324
50.1,0.9519189864
50.2,0.9999164231
50.3,1.0012404174
50.4,1.0750444116
50.6,1.0639632462
51.1,1.0010241584
51.2,0.9448712255
51.4,1.0564945992
51.5,1.0695864426
51.7,1.0148485188
51.8,0.9669103951
52.1,0.9510126762
52.2,0.8512681581
52.3,0.8730143689
52.6,0.8649221028
53.1,0.955211196
53.2,0.9839105758
53.4,0.934421225
53.7,0.822723297
54,1.0048572252
54.5,1.0906219694
54.6,1.2029243299
55.1,1.1504800288
55.7,1.3070848925
56,1.2049899701
56.1,1.1138174573
56.3,1.1130766003
56.5,1.1403617819
56.9,1.2147670039
57.3,1.3335974955
57.6,1.3571151335
57.8,1.3157527202
58,1.2807943912
58.1,1.3191368655
58.8,1.329881305
59.1,1.340470773
59.5,1.3904866239
59.6,1.3880831662
59.8,1.273259881
60,1.1140565641
60.2,1.0250275295
60.4,0.9929252977
60.7,1.0023152928
60.9,0.9443401005
61.1,0.8762253749
61.2,0.9075936954
61.8,0.8464153187
62.2,0.7421638891
62.3,0.8200206072
62.4,0.9180729504
62.7,0.8490713829
63.2,0.9219768188
63.3,0.8019720799
63.7,0.818975387
63.8,0.763549273
64,0.7308732449
64.3,0.7086572193
64.6,0.6913792017
64.8,0.7775080508
64.9,0.8965430594
65.1,0.8231043863
65.2,0.7417138323
65.5,0.6496850418
66.1,0.6682340965
66.2,0.6620233608
66.4,0.4949581343
66.8,0.4241859066
67.1,0.3745999922
67.3,0.3575593295
67.4,0.2360424974
67.8,0.2262507453
67.9,0.2611986701
68.1,0.4230975693
68.4,0.4431035387
68.8,0.3269422203
69.1,0.3137499515
69.2,0.2976023585
69.3,0.2774423506
69.6,0.2160040991
69.8,0.2417084061
70.2,0.2393964543
70.3,0.2283844762
70.7,0.3422403044
70.9,0.2533730848
71,0.3259731363
71.3,0.2864815836
71.6,0.3917691918
71.9,0.4835941845
72.2,0.4387853524
72.3,0.4888947207
72.4,0.6229299647
72.6,0.6993323778
72.8,0.5946185804
73,0.6162240914
73.4,0.5762757514
73.5,0.6187493375
74.2,0.482485752
74.5,0.4694981092
74.7,0.5470752525
74.9,0.6319165298
75,0.5737176901
75.3,0.5088297968
75.6,0.5102327304
75.7,0.5264427416
75.8,0.5487270338
75.9,0.6175356766
76.2,0.7909129962
76.7,0.6869980174
76.8,0.7189044897
76.9,0.8238103366
77.1,0.7906336718
77.3,0.803227129
77.6,0.9309099191
77.7,0.8468379002
77.8,0.8603200848
77.9,0.8163469288
78.1,0.8192060921
78.3,0.7999773864
78.5,0.8084952341
78.7,0.8619834666
78.9,0.8062070379
79.1,0.7849238117
79.3,0.7188140026
79.6,0.7041835994
79.8,0.6854931634
80,0.6129336659
80.2,0.4822540561
80.6,0.4748708028
81,0.5902622608
81.4,0.5574406411
81.7,0.6105812658
82,0.5216453205
82.2,0.534367629
82.3,0.5911150484
82.5,0.6884852428
82.6,0.7037968926
82.7,0.6299120455
83.2,0.7141184505
83.6,0.6118906702
83.7,0.7119164931
83.8,0.5929963194
84,0.4580553835
84.4,0.2795774111
85,0.2330298745
85.1,0.2283896672
85.3,0.2791065651
85.6,0.445229519
86.2,0.5467971518
86.5,0.5731641355
86.6,0.4815918109
86.9,0.3201708762
87.2,0.4351522467
87.7,0.4567094575
87.9,0.5004837239
88.1,0.5903120735
88.4,0.7358531053
89.2,0.8170497624
89.4,1.0321797972
89.7,1.0399697098
90.1,1.146655716
90.2,1.2789379367
90.3,1.4105853654
90.5,1.5364360894
90.7,1.5523884557
91.1,1.6221636177
91.3,1.7258072182
91.4,1.6329993713
91.6,1.5621232874
91.9,1.512481678
92,1.5515094108
92.4,1.3994961145
92.7,1.3423906904
93.2,1.4966343439
93.7,1.4636704762
94.1,1.5289348103
94.2,1.6001896652
94.4,1.6032198973
94.5,1.68537131
94.7,1.6518419244
95,1.7316528636
95.4,1.8170906093
95.6,1.7829570589
95.8,1.7776772275
95.9,1.7345160881
96.1,1.6269164961
96.3,1.5517777507
96.7,1.562409345
96.8,1.5104454104
96.9,1.4449051524
97,1.5024818536
97.1,1.3989838746
97.4,1.3919246126
97.7,1.3531521735
97.8,1.4770218057
98.1,1.4834136354
98.3,1.4054578283
98.4,1.4839477263
98.7,1.4801652735
98.8,1.3930139877
98.9,1.2823118668
99.8,1.3993380631
100.1,1.5247687635
100.8,1.7114377813
101,1.6324098936
101.1,1.5443403956
101.5,1.6089013824
101.8,1.5604743196
101.9,1.4984862048
102.1,1.5994620171
102.4,1.4690890643
102.9,1.4956143326
103,1.5078104714
103.1,1.6795907334
103.3,1.6218557366
103.5,1.5971106166
103.8,1.6595723101
103.9,1.6980221284
104.1,1.7453847117
104.2,1.731748055
104.3,1.8102032984
104.5,1.9808099207
104.8,1.9530182785
104.9,1.9392200756
105.2,1.915196829
105.4,1.8104702457
105.5,1.7789782979
105.6,1.8153070417
106,1.7233902109
106.2,1.7807432879
106.3,1.7882502641
106.4,1.8234118815
106.5,1.9204730409
106.8,1.9089939522
107.1,1.9411677907
107.3,1.9974785728
107.5,1.9035267401
107.8,1.9819587354
108,2.0201183947
108.6,2.0153729476
108.7,1.9793404658
108.8,1.8807688211
109,1.8680271941
109.3,1.8806428566
109.5,1.9733880099
109.7,1.9827142601
110,2.1060419043
110.4,2.0724728053
110.6,2.2052039684
110.9,2.2949466557
111.4,2.1406148641
111.5,2.1742479583
111.7,2.2505034812
112.2,2.2327682275
112.6,2.2779636012
113,2.3402456043
113.2,2.3222196299
113.3,2.4492232547
113.7,2.4649379291
113.9,2.4283765643
114,2.4900662698
114.2,2.452656082
114.8,2.4528245321
115,2.4278508703
115.4,2.2954790045
115.6,2.3142725567
116.1,2.3639866488
116.4,2.3602790862
116.5,2.3474394646
116.8,2.2822581391
117,2.1542058811
117.4,2.0785830048
117.6,2.0393067516
117.7,2.0779808146
118.3,1.9812631796
118.6,1.9992634359
118.8,2.1176460401
119.1,2.1291214581
119.2,2.1545730168
119.5,2.1563105644
119.7,2.1576696876
120,2.2086340845
120.2,2.2938476108
120.4,2.4033454896
120.7,2.3586748213
120.9,2.4379914406
121.1,2.455543377
121.5,2.3762809422
121.9,2.2833198117
122.1,2.3903331289
122.7,2.4730614435
122.9,2.5183920215
123.2,2.4842229551
123.6,2.5783451217
123.7,2.6767006202
123.9,2.7228863453
124.3,2.5650145998
124.5,2.635419804
124.7,2.7155100156
124.9,2.7218334633
125.1,2.7913005911
125.6,2.8798442673
125.9,2.8028007795
126.2,2.7370100672
126.6,2.7267916911
126.8,2.6353258095
127.1,2.5430091912
127.3,2.6562730268
127.5,2.7795764239
127.7,2.7980274863
127.8,2.8755910058
127.9,2.9655720242
128.5,2.8577174702
128.8,2.8083189891
128.9,2.7530594894
129.2,2.8527245572
129.4,2.8430966351
129.6,2.8075015317
129.8,2.8119040165
