time,odom,est
<built-in function time>,0.0,-0.012482544109503828
<built-in function time>,0.0,0.05149199953672818
<built-in function time>,0.0,0.024942439523790206
<built-in function time>,0.0,-0.04505039547281727
<built-in function time>,0.0,0.024942439523790206
<built-in function time>,0.0,0.024942439523790206
<built-in function time>,0.0,-0.04505039547281727
<built-in function time>,0.0,0.056762360094054824
<built-in function time>,0.0,0.056762360094054824
<built-in function time>,0.0,0.009618714441100809
<built-in function time>,0.0,-0.012482544109503828
<built-in function time>,0.0,0.024942439523790206
<built-in function time>,0.0,0.024942439523790206
<built-in function time>,0.0,0.024942439523790206
<built-in function time>,0.0,0.024942439523790206
<built-in function time>,0.0,0.024942439523790206
<built-in function time>,0.0,0.024942439523790206
<built-in function time>,0.0,0.024942439523790206
<built-in function time>,0.0,0.009618714441100809
<built-in function time>,0.0,0.009618714441100809
<built-in function time>,0.0,0.009618714441100809
<built-in function time>,0.0,0.024942439523790206
<built-in function time>,0.0,0.009618714441100809
<built-in function time>,0.0,0.024942439523790206
<built-in function time>,0.0,0.024942439523790206
<built-in function time>,0.0,0.024942439523790206
<built-in function time>,0.0,0.024942439523790206
<built-in function time>,0.0,0.009618714441100809
<built-in function time>,0.0,0.009618714441100809
<built-in function time>,0.003130215406417846,0.03240259143457207
<built-in function time>,-0.0011997210979461674,0.028072654930208055
<built-in function time>,-0.02331769764423371,0.008418993343154643
<built-in function time>,-0.04200857013463974,-0.0136989832031329
<built-in function time>,-0.06069944262504576,-0.03238985569353894
<built-in function time>,-0.08909844726324082,-0.06655243129607037
<built-in function time>,-0.08909844726324082,-0.06415600773945061
<built-in function time>,-0.08909844726324082,-0.07947973282213999
<built-in function time>,-0.08909844726324082,-0.07947973282213999
<built-in function time>,-0.08909844726324082,-0.07947973282213999
<built-in function time>,-0.0943879941105843,-0.08476927966948349
<built-in function time>,-0.0943879941105843,-0.08476927966948349
<built-in function time>,-0.0943879941105843,-0.08476927966948349
<built-in function time>,-0.0943879941105843,-0.08476927966948349
<built-in function time>,-0.0943879941105843,-0.08476927966948349
<built-in function time>,-0.0943879941105843,-0.0694455545867941
<built-in function time>,-0.0943879941105843,-0.08476927966948349
<built-in function time>,-0.0943879941105843,-0.08476927966948349
<built-in function time>,-0.0943879941105843,-0.08476927966948349
<built-in function time>,-0.0943879941105843,-0.0694455545867941
<built-in function time>,-0.0943879941105843,-0.0694455545867941
<built-in function time>,-0.0943879941105843,-0.08476927966948349
<built-in function time>,-0.0943879941105843,-0.08476927966948349
<built-in function time>,-0.0943879941105843,-0.08476927966948349
<built-in function time>,-0.0943879941105843,-0.08476927966948349
<built-in function time>,-0.0943879941105843,-0.0694455545867941
<built-in function time>,-0.0943879941105843,-0.08476927966948349
<built-in function time>,-0.0943879941105843,-0.0694455545867941
<built-in function time>,-0.0943879941105843,-0.08476927966948349
<built-in function time>,-0.0943879941105843,-0.08476927966948349
<built-in function time>,-0.0943879941105843,-0.08476927966948349
<built-in function time>,-0.0943879941105843,-0.0694455545867941
<built-in function time>,-0.0943879941105843,-0.08476927966948349
<built-in function time>,-0.0943879941105843,-0.0694455545867941
<built-in function time>,-0.0943879941105843,-0.0694455545867941
<built-in function time>,-0.0943879941105843,-0.08476927966948349
<built-in function time>,-0.0943879941105843,-0.0694455545867941
<built-in function time>,-0.0943879941105843,-0.0694455545867941
<built-in function time>,-0.0943879941105843,-0.08476927966948349
<built-in function time>,-0.0943879941105843,-0.08476927966948349
<built-in function time>,-0.0943879941105843,-0.0694455545867941
<built-in function time>,-0.0943879941105843,-0.08476927966948349
<built-in function time>,-0.0943879941105843,-0.08476927966948349
<built-in function time>,-0.0943879941105843,-0.08476927966948349
<built-in function time>,-0.0943879941105843,-0.08476927966948349
<built-in function time>,-0.0943879941105843,-0.08476927966948349
<built-in function time>,-0.0943879941105843,-0.08476927966948349
<built-in function time>,-0.0943879941105843,-0.08476927966948349
<built-in function time>,-0.0943879941105843,-0.08476927966948349
<built-in function time>,-0.0943879941105843,-0.08476927966948349
<built-in function time>,-0.0943879941105843,-0.08476927966948349
